parameter,region,initial_age_min_days,initial_age_max_days,configured_weight,baseline_effective_weight,fitted_weight,fitted_sampling_probability,fitted_to_configured_ratio,unobserved_in_calibration_window
demo_europe_age_12000_16000,europe,12000,16000,0.005,0.005,0.006793735106048167,0.005111915053459871,1.3587470212096333,False
demo_europe_age_16000_20000,europe,16000,20000,0.004,0.004,0.0049942832805796806,0.003757925719021581,1.2485708201449202,False
demo_europe_age_20000_24000,europe,20000,24000,0.003,0.003,0.003421937986306781,0.002574821660125494,1.1406459954355936,False
demo_europe_age_24000_28000,europe,24000,28000,0.002,0.002,0.0020924245402677033,0.0015744353199907476,1.0462122701338517,False
demo_europe_age_28000_32000,europe,28000,32000,0.002,0.002,0.002060946575258205,0.0015507498685163321,1.0304732876291025,False
demo_north_america_age_neg40000_neg36000,north_america,-40000,-36000,0.012,0.012,0.009660829099073412,0.007269246876654186,0.805069091589451,True
demo_north_america_age_neg36000_neg32000,north_america,-36000,-32000,0.011,0.011,0.00489215250174076,0.0036810778794136656,0.44474113652188735,False
demo_north_america_age_neg32000_neg28000,north_america,-32000,-28000,0.01,0.01,0.005602725378263407,0.004215745205615807,0.5602725378263407,False
demo_north_america_age_neg28000_neg24000,north_america,-28000,-24000,0.009,0.009,0.006665655195639908,0.005015541907930707,0.740628355071101,False
demo_north_america_age_neg24000_neg20000,north_america,-24000,-20000,0.008,0.008,0.006265568985079729,0.004714498860105139,0.7831961231349661,False
demo_north_america_age_neg20000_neg16000,north_america,-20000,-16000,0.007,0.007,0.005914416241998107,0.004450275577124235,0.8449166059997295,False
demo_north_america_age_neg16000_neg12000,north_america,-16000,-12000,0.006,0.006,0.006441085233862345,0.004846565262499884,1.0735142056437241,False
demo_north_america_age_neg12000_neg8000,north_america,-12000,-8000,0.005,0.005,0.005668038528447723,0.004264889788147272,1.1336077056895446,False
demo_north_america_age_neg8000_neg4000,north_america,-8000,-4000,0.004,0.004,0.005714582037013233,0.004299911239287611,1.4286455092533081,False
demo_north_america_age_neg4000_0,north_america,-4000,0,0.003,0.0,0.005619968135614491,0.0042287194398905135,1.873322711871497,False
demo_north_america_age_0_4000,north_america,0,4000,0.003,0.003,0.005825350115159109,0.004383258175439511,1.9417833717197028,False
demo_north_america_age_4000_8000,north_america,4000,8000,0.003,0.003,0.00572360893624326,0.004306703488520136,1.90786964541442,False
demo_north_america_age_8000_12000,north_america,8000,12000,0.002,0.002,0.003271853483461981,0.00246189125918885,1.6359267417309904,False
demo_north_america_age_12000_16000,north_america,12000,16000,0.002,0.002,0.003175853822604359,0.0023896567513953045,1.5879269113021794,False
demo_north_america_age_16000_20000,north_america,16000,20000,0.002,0.002,0.0031437419926813887,0.002365494351152287,1.5718709963406943,False
