region,age_group,baseline_region_share,target_region_share,baseline_age_share,target_age_share,predicted_age_share,baseline_joint_share,target_joint_share,predicted_joint_share,frozen_response_coefficient
asia,0_5,0.578475829349598,0.589659,0.11798655006770789,0.08585039596443009,0.08585039596443007,0.06825236740251518,0.050622458633989884,0.05062245863398988,1.6823758647593563
asia,6_14,0.578475829349598,0.589659,0.1621468821942374,0.14385832821755315,0.14385832821755315,0.09379805215376304,0.08482735795843419,0.08482735795843417,1.6739333841931168
asia,15_49,0.578475829349598,0.589659,0.4920558274510247,0.5121406262648015,0.5121406262648014,0.2846424028710342,0.3019883295426766,0.30198832954267657,1.6200811814069207
asia,50_79,0.578475829349598,0.589659,0.2152145469858806,0.24050204232484124,0.2405020423248412,0.1244964135557553,0.14181419377522356,0.14181419377522356,1.3099826689354375
asia,80plus,0.578475829349598,0.589659,0.01259619330114945,0.017648607228374018,0.017648607228374014,0.0072865933665302775,0.010406660089675796,0.010406660089675794,0.09782243037864466
africa,0_5,0.1574850658056262,0.184351,0.1225085059080416,0.16994040923390202,0.16994040923390202,0.01929326011467688,0.03132868438267907,0.03132868438267907,1.5671495350851223
africa,6_14,0.1574850658056262,0.184351,0.16942276178901652,0.22439822064934703,0.22439822064934697,0.0266815547893142,0.04136803637492777,0.04136803637492776,1.533803324167065
africa,15_49,0.1574850658056262,0.184351,0.5121227421554627,0.49037932936975503,0.49037932936975503,0.0806516837489108,0.0904019197486437,0.0904019197486437,1.4589245187675233
africa,50_79,0.1574850658056262,0.184351,0.18965820415230483,0.11070220789274601,0.11070220789274601,0.029868334761502618,0.02040806272723562,0.02040806272723562,0.9281014565382297
africa,80plus,0.1574850658056262,0.184351,0.00628778599517436,0.004579832854250001,0.00457983285425,0.000990232391221729,0.0008442967665138419,0.0008442967665138418,0.039156593571944454
europe,0_5,0.12138156631687877,0.10388999079540767,0.10398813362768582,0.05633516773680294,0.05633516773680296,0.012622242538097397,0.005852660057634205,0.005852660057634205,1.713236074008388
europe,6_14,0.12138156631687877,0.10388999079540767,0.140176288520054,0.09873943826915889,0.0987394382691589,0.01701481746105087,0.010258039332926641,0.01025803933292664,1.7048348057892548
europe,15_49,0.12138156631687877,0.10388999079540767,0.46411246040106047,0.4390731550217485,0.43907315502174854,0.05633469739066109,0.045615306033720056,0.04561530603372005,1.6598047809265593
europe,50_79,0.12138156631687877,0.10388999079540767,0.26746671804273214,0.3518021677101246,0.35180216771012457,0.03246552917366181,0.036548723965209313,0.0365487239652093,1.4165613184712826
europe,80plus,0.12138156631687877,0.10388999079540767,0.02425639940846764,0.05405007126216494,0.054050071262164955,0.002944279753407614,0.0056152614059174445,0.0056152614059174445,0.09837397422529065
north_america,0_5,0.06734589759527386,0.05764108087892221,0.11580869077468964,0.06485807571581488,0.06485807571581487,0.007799240229554985,0.003738489587986546,0.0037384895879865447,1.7302151738493388
north_america,6_14,0.06734589759527386,0.05764108087892221,0.15894346712922477,0.10873579759940177,0.10873579759940177,0.01070419046072255,0.006267648903861233,0.006267648903861232,1.719256553455147
north_america,15_49,0.06734589759527386,0.05764108087892221,0.4850303514024286,0.46319170843544305,0.46319170843544305,0.03266480437614765,0.026698870728373528,0.026698870728373524,1.6732458304640179
north_america,50_79,0.06734589759527386,0.05764108087892221,0.22393113811829568,0.32319654206497733,0.32319654206497733,0.015080843496107868,0.018629398020955344,0.01862939802095534,1.4281599560764344
north_america,80plus,0.06734589759527386,0.05764108087892221,0.01628635257536115,0.040017876184362915,0.04001787618436292,0.0010968190327407968,0.0023066736377455577,0.0023066736377455577,0.08519169483723552
south_america,0_5,0.05008775718435621,0.0428699084279471,0.12691145584861496,0.08165422173023,0.08165422173022999,0.00635671018445857,0.003500509008330248,0.0035005090083302477,1.7256117789149237
south_america,6_14,0.05008775718435621,0.0428699084279471,0.17055636933931764,0.133873777370513,0.133873777370513,0.008542786013713118,0.00573915657677727,0.005739156576777269,1.7119242058196327
south_america,15_49,0.05008775718435621,0.0428699084279471,0.48539447131101887,0.524832966889204,0.524832966889204,0.02431232041765527,0.022499541230507968,0.022499541230507968,1.6521488597215757
south_america,50_79,0.05008775718435621,0.0428699084279471,0.20479693528322943,0.240187973338902,0.24018797333890193,0.010257819166566708,0.010296836422532927,0.010296836422532925,1.325987237496296
south_america,80plus,0.05008775718435621,0.0428699084279471,0.012340768217819178,0.019451060671151,0.019451060671150995,0.0006181214019625472,0.0008338651897986866,0.0008338651897986865,0.0758324399762967
oceania,0_5,0.025223883748266958,0.021589019897723064,0.11499805074761624,0.09006363021647491,0.09006363021647491,0.002900697463335176,0.0019443855048046491,0.0019443855048046491,1.7862278853597386
oceania,6_14,0.025223883748266958,0.021589019897723064,0.13523034034571754,0.13659475000947588,0.13659475000947585,0.003411034384118954,0.0029489467758790824,0.002948946775879082,1.7948685219822653
oceania,15_49,0.025223883748266958,0.021589019897723064,0.49005765479393343,0.48321360368056454,0.4832136036805645,0.012361157314470517,0.010432108104710175,0.010432108104710174,1.7214916411260908
oceania,50_79,0.025223883748266958,0.021589019897723064,0.23624268821787747,0.25861606095342676,0.25861606095342676,0.005958958103985818,0.005583267285794291,0.005583267285794291,1.432477904270704
oceania,80plus,0.025223883748266958,0.021589019897723064,0.02347126589485538,0.03151195514005797,0.03151195514005797,0.0005920364823564951,0.0006803122265348682,0.0006803122265348682,0.06809168863086318
