time_step,total_population,asia_population,asia_prop_age_0_5,asia_prop_age_6_14,asia_prop_age_15_49,asia_prop_age_50_79,asia_prop_age_80plus,africa_population,africa_prop_age_0_5,africa_prop_age_6_14,africa_prop_age_15_49,africa_prop_age_50_79,africa_prop_age_80plus,europe_population,europe_prop_age_0_5,europe_prop_age_6_14,europe_prop_age_15_49,europe_prop_age_50_79,europe_prop_age_80plus,north_america_population,north_america_prop_age_0_5,north_america_prop_age_6_14,north_america_prop_age_15_49,north_america_prop_age_50_79,north_america_prop_age_80plus,south_america_population,south_america_prop_age_0_5,south_america_prop_age_6_14,south_america_prop_age_15_49,south_america_prop_age_50_79,south_america_prop_age_80plus,oceania_population,oceania_prop_age_0_5,oceania_prop_age_6_14,oceania_prop_age_15_49,oceania_prop_age_50_79,oceania_prop_age_80plus
33580,5693541,3290057,0.1194320023059845,0.16569900512695312,0.49371099472045898,0.21408799290657043,0.0070699998177587986,897709,0.12355999648571014,0.17339900135993958,0.51456797122955322,0.18550999462604523,0.0029629999771714211,694879,0.1037679985165596,0.14211399853229523,0.4677099883556366,0.26949000358581543,0.01691799983382225,383050,0.11637400090694427,0.16249799728393555,0.48705101013183594,0.22312000393867493,0.010956999845802784,283962,0.12852099537849426,0.1738010048866272,0.48488900065422058,0.20595000684261322,0.006839000154286623,143884,0.11162500083446503,0.13489300012588501,0.49668499827384949,0.23953999578952789,0.017256999388337135
33581,5693772,3290249,0.11942899972200394,0.16568799316883087,0.49372199177742004,0.21408599615097046,0.0070750000886619091,897713,0.12354700267314911,0.1733970046043396,0.51457399129867554,0.18551400303840637,0.0029680000152438879,694901,0.10377000272274017,0.14212800562381744,0.46764099597930908,0.26952800154685974,0.016932999715209007,383104,0.11639899760484695,0.16256199777126312,0.48700898885726929,0.22305400669574738,0.010975999757647514,283929,0.1285180002450943,0.17377600073814392,0.48493799567222595,0.20592500269412994,0.0068430001847445965,143876,0.11161699891090393,0.13481099903583527,0.49674001336097717,0.23958100378513336,0.017250999808311462
33582,5694009,3290357,0.11942300200462341,0.16567699611186981,0.49373498558998108,0.21407899260520935,0.0070870001800358295,897752,0.12354599684476852,0.17338499426841736,0.51455897092819214,0.18553599715232849,0.0029740000609308481,694970,0.10382000356912613,0.14213700592517853,0.46766498684883118,0.26944199204444885,0.016936000436544418,383089,0.11636999994516373,0.16254700720310211,0.48701199889183044,0.22308400273323059,0.010986999608576298,283955,0.12846800684928894,0.17381300032138824,0.48490101099014282,0.20597299933433533,0.0068459999747574329,143886,0.11167199909687042,0.13484999537467957,0.49658098816871643,0.23962000012397766,0.017278000712394714
33583,5694229,3290575,0.11942899972200394,0.16566799581050873,0.49375501275062561,0.21405400335788727,0.0070940000005066395,897762,0.1235480010509491,0.17337299883365631,0.51454299688339233,0.18555900454521179,0.0029760000761598349,694970,0.10381200164556503,0.14213299751281738,0.46760401129722595,0.26950699090957642,0.016945000737905502,383049,0.11635100096464157,0.16256900131702423,0.48694801330566406,0.22312800586223602,0.011003999970853329,283965,0.12847000360488892,0.17379599809646606,0.48488399386405945,0.20600099861621857,0.0068490002304315567,143908,0.11162000149488449,0.13486400246620178,0.4965670108795166,0.23963899910449982,0.017309999093413353
33584,5694478,3290686,0.11943600326776505,0.16565699875354767,0.49376198649406433,0.21404199302196503,0.0071020000614225864,897793,0.12354599684476852,0.1733890026807785,0.51453101634979248,0.18555200099945068,0.0029829998966306448,695033,0.10379400104284286,0.14213399589061737,0.4676310122013092,0.26949501037597656,0.01694599911570549,383063,0.11647199839353561,0.16245900094509125,0.48691999912261963,0.22314299643039703,0.011006000451743603,283964,0.12842099368572235,0.17373700439929962,0.48491400480270386,0.20604699850082397,0.0068810000084340572,143939,0.11158200353384018,0.13485600054264069,0.49652299284934998,0.23971299827098846,0.017326999455690384
33585,5694708,3290800,0.11943600326776505,0.16565899550914764,0.49375900626182556,0.21403799951076508,0.0071089998818933964,897841,0.12355499714612961,0.17337499558925629,0.51452702283859253,0.18556100130081177,0.0029829998966306448,695074,0.10379300266504288,0.14210399985313416,0.46761500835418701,0.26953700184822083,0.016951000317931175,383061,0.11648300290107727,0.1624470055103302,0.48689401149749756,0.22316600382328033,0.011010999791324139,283950,0.12844200432300568,0.17364999651908875,0.48502200841903687,0.20599399507045746,0.0068919998593628407,143982,0.1116039976477623,0.13494700193405151,0.49643701314926147,0.23966200649738312,0.017348999157547951
33586,5694960,3290908,0.11943399906158447,0.16565200686454773,0.49375998973846436,0.21403500437736511,0.0071189999580383301,897887,0.12354999780654907,0.17336000502109528,0.51454699039459229,0.18554799258708954,0.0029949999880045652,695049,0.10375399887561798,0.14214399456977844,0.46759399771690369,0.26955699920654297,0.016951000317931175,383114,0.11654800176620483,0.16242900490760803,0.48692300915718079,0.22309799492359161,0.011002000421285629,283958,0.12841999530792236,0.17363099753856659,0.48500800132751465,0.20603400468826294,0.0069059999659657478,144044,0.11168800294399261,0.13497999310493469,0.49625799059867859,0.23966300487518311,0.017410999163985252
33587,5695162,3290915,0.11944299936294556,0.16563500463962555,0.49377301335334778,0.21402400732040405,0.0071240002289414406,897918,0.12352699786424637,0.17335200309753418,0.51456499099731445,0.18555499613285065,0.0030010000336915255,695127,0.10377199947834015,0.1421390026807785,0.46757099032402039,0.2695620059967041,0.016954999417066574,383117,0.11649999767541885,0.16244900226593018,0.48690301179885864,0.22313299775123596,0.011014999821782112,284025,0.1284250020980835,0.17360800504684448,0.48497098684310913,0.20606599748134613,0.0069289999082684517,144060,0.11163400113582611,0.1350409984588623,0.49616101384162903,0.23973999917507172,0.017423000186681747
33588,5695389,3291008,0.11944799870252609,0.16563400626182556,0.49377000331878662,0.21401500701904297,0.0071330000646412373,897947,0.12352599948644638,0.17332200706005096,0.51456999778747559,0.18557600677013397,0.0030060000717639923,695218,0.10376200079917908,0.14214099943637848,0.46755000948905945,0.26956599950790405,0.016982000321149826,383138,0.11649800091981888,0.16240400075912476,0.48688998818397522,0.22317500412464142,0.01103300042450428,284028,0.12846599519252777,0.17359200119972229,0.48499399423599243,0.20602899789810181,0.0069180000573396683,144050,0.11159300059080124,0.13504299521446228,0.4961400032043457,0.23979899287223816,0.017425000667572021
33589,5695605,3291082,0.11945199966430664,0.16562700271606445,0.49376100301742554,0.21401800215244293,0.0071419999003410339,897991,0.1235089972615242,0.17332799732685089,0.51457101106643677,0.18558600544929504,0.0030060000717639923,695283,0.10380200296640396,0.14216400682926178,0.46749898791313171,0.26953500509262085,0.017000000923871994,383113,0.11646699905395508,0.16240599751472473,0.48693498969078064,0.22317400574684143,0.011017999611794949,284080,0.12844599783420563,0.17355699837207794,0.48506098985671997,0.2059980034828186,0.0069380002096295357,144056,0.11160899698734283,0.1350100040435791,0.49610599875450134,0.23983000218868256,0.017444999888539314
