age_group,-40000_-36000,-36000_-32000,-32000_-28000,-28000_-24000,-24000_-20000,-20000_-16000,-16000_-12000,-12000_-8000,-8000_-4000,-4000_0,0_4000,4000_8000,8000_12000,12000_16000,16000_20000,20000_24000,24000_28000,28000_32000
0_5,0.0,0.5156943493150764,0.03180565068493149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6_14,0.0,0.0619306506849315,0.7593193493150721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15_49,0.0,0.0,0.20887500000000003,1.0,1.0,0.9464991438356163,0.03837585616438355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50_79,0.0,0.0,0.0,0.0,0.0,0.05350085616438355,0.9616241438356165,1.0,0.722375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80plus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27762499999999996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
