bacteria,drug,resistance_representable,maximum_any_r,positive_effect_mechanisms
acinetobacter_baumannii,ceftazidime_avibactam,true,0.94645,enzyme_kpc;enzyme_ndm_vim;enzyme_oxa_48;enzyme_oxa_acinetobacter;mutation_pbp_mosaic
acinetobacter_baumannii,meropenem_vaborbactam,true,0.7025,enzyme_kpc;enzyme_ndm_vim;enzyme_oxa_48
acinetobacter_baumannii,colistin,true,0.985,modification_mcr_1;mutation_polymyxin_regulatory
acinetobacter_baumannii,flucloxacillin,false,0,
acinetobacter_baumannii,aztreonam_avibactam,false,0,
acinetobacter_baumannii,cefixime,false,0,
acinetobacter_baumannii,nalidixic_acid,false,0,
citrobacter_spp.,sulfanilamide,true,0.85,mutation_folate_pathway
citrobacter_spp.,penicillin_g,false,0,
citrobacter_spp.,ampicillin,false,0,
citrobacter_spp.,amoxicillin,false,0,
citrobacter_spp.,piperacillin,true,0.99999999919,enzyme_esbl_ctx_m;enzyme_esbl_tem;enzyme_esbl_shv;enzyme_kpc;enzyme_ndm_vim;enzyme_oxa_48;enzyme_ampc_cmy;enzyme_ampc_dha;mutation_ampc_derepression;enzyme_narrow_spectrum_gram_negative_penicillinase;mutation_pbp_mosaic
citrobacter_spp.,ticarcillin,true,0.99999999919,enzyme_esbl_ctx_m;enzyme_esbl_tem;enzyme_esbl_shv;enzyme_kpc;enzyme_ndm_vim;enzyme_oxa_48;enzyme_ampc_cmy;enzyme_ampc_dha;mutation_ampc_derepression;enzyme_narrow_spectrum_gram_negative_penicillinase;mutation_pbp_mosaic
citrobacter_spp.,cephalexin,false,0,
citrobacter_spp.,cefazolin,false,0,
citrobacter_spp.,cefuroxime,true,0.9999999865,enzyme_esbl_ctx_m;enzyme_esbl_tem;enzyme_esbl_shv;enzyme_kpc;enzyme_ndm_vim;enzyme_oxa_48;enzyme_ampc_cmy;enzyme_ampc_dha;mutation_ampc_derepression;mutation_pbp_mosaic
citrobacter_spp.,ceftriaxone,true,0.999999726671875,enzyme_esbl_ctx_m;enzyme_esbl_tem;enzyme_esbl_shv;enzyme_kpc;enzyme_ndm_vim;enzyme_oxa_48;enzyme_ampc_cmy;enzyme_ampc_dha;mutation_ampc_derepression;mutation_pbp_mosaic
citrobacter_spp.,ceftazidime,true,0.999999726671875,enzyme_esbl_ctx_m;enzyme_esbl_tem;enzyme_esbl_shv;enzyme_kpc;enzyme_ndm_vim;enzyme_oxa_48;enzyme_ampc_cmy;enzyme_ampc_dha;mutation_ampc_derepression;mutation_pbp_mosaic
citrobacter_spp.,cefepime,true,0.9977366423125,enzyme_esbl_ctx_m;enzyme_esbl_tem;enzyme_esbl_shv;enzyme_kpc;enzyme_ndm_vim;enzyme_oxa_48;enzyme_ampc_cmy;enzyme_ampc_dha;mutation_ampc_derepression;mutation_pbp_mosaic
citrobacter_spp.,ceftaroline,false,0,
citrobacter_spp.,ceftolozane_tazobactam,true,0.9999825,enzyme_kpc;enzyme_ndm_vim;enzyme_ampc_cmy;enzyme_ampc_dha;mutation_ampc_derepression;mutation_pbp_mosaic
citrobacter_spp.,cefiderocol,true,0.6,mutation_siderophore_uptake
citrobacter_spp.,meropenem,true,0.9984999999999999,enzyme_kpc;enzyme_ndm_vim;enzyme_oxa_48
citrobacter_spp.,imipenem_c,true,0.9984999999999999,enzyme_kpc;enzyme_ndm_vim;enzyme_oxa_48
citrobacter_spp.,ertapenem,true,0.9984999999999999,enzyme_kpc;enzyme_ndm_vim;enzyme_oxa_48
citrobacter_spp.,aztreonam,true,0.9986878,enzyme_esbl_ctx_m;enzyme_esbl_tem;enzyme_esbl_shv;enzyme_kpc;enzyme_ampc_cmy;enzyme_ampc_dha;mutation_ampc_derepression;mutation_pbp_mosaic
citrobacter_spp.,erythromycin,false,0,
citrobacter_spp.,azithromycin,false,0,
citrobacter_spp.,clarithromycin,false,0,
citrobacter_spp.,clindamycin,false,0,
citrobacter_spp.,gentamicin,true,0.99475,enzyme_16s_rrmt;efflux_mexxy_oprm;enzyme_aac_aph
citrobacter_spp.,tobramycin,true,0.99475,enzyme_16s_rrmt;efflux_mexxy_oprm;enzyme_aac_aph
citrobacter_spp.,amikacin,true,0.99475,enzyme_16s_rrmt;efflux_mexxy_oprm;enzyme_aac_aph
citrobacter_spp.,ciprofloxacin,true,0.98776,mutation_gyra_primary;mutation_gyra_parc_secondary;protection_qnr;efflux_acrab_tolc;efflux_mexxy_oprm;global_efflux_pump
citrobacter_spp.,levofloxacin,true,0.96,mutation_gyra_parc_secondary;protection_qnr
citrobacter_spp.,moxifloxacin,true,0.96,mutation_gyra_parc_secondary;protection_qnr
citrobacter_spp.,ofloxacin,true,0.976,mutation_gyra_primary;mutation_gyra_parc_secondary;protection_qnr
citrobacter_spp.,tetracycline,true,0.9866125,efflux_acrab_tolc;efflux_mexxy_oprm;global_efflux_pump;protection_tet_m;efflux_tet_abc
citrobacter_spp.,doxycycline,true,0.9866125,efflux_acrab_tolc;efflux_mexxy_oprm;global_efflux_pump;protection_tet_m;efflux_tet_abc
citrobacter_spp.,minocycline,true,0.955375,efflux_acrab_tolc;efflux_mexxy_oprm;global_efflux_pump;protection_tet_m
citrobacter_spp.,tigecycline,true,0.36250000000000004,efflux_acrab_tolc;global_efflux_pump
citrobacter_spp.,vancomycin,false,0,
citrobacter_spp.,teicoplanin,false,0,
citrobacter_spp.,dalbavancin,false,0,
citrobacter_spp.,linezolid,false,0,
citrobacter_spp.,tedizolid,false,0,
citrobacter_spp.,daptomycin,false,0,
citrobacter_spp.,quinu_dalfo,false,0,
citrobacter_spp.,trim_sulf,true,0.85,mutation_folate_pathway
citrobacter_spp.,chloramphenicol,true,0.9524,enzyme_cat;efflux_acrab_tolc;efflux_mexxy_oprm;global_efflux_pump
citrobacter_spp.,nitrofurantoin,true,0.7,mutation_nitroreductase
citrobacter_spp.,fosfomycin,true,0.8,enzyme_fos
citrobacter_spp.,retapamulin,false,0,
citrobacter_spp.,fusidic_a,false,0,
citrobacter_spp.,metronidazole,false,0,
citrobacter_spp.,fidaxomicin,false,0,
citrobacter_spp.,furazolidone,false,0,
citrobacter_spp.,rifampicin,true,0.95,mutation_rpo_b
citrobacter_spp.,amoxicillin_clavulanate,true,0.999919,enzyme_kpc;enzyme_ndm_vim;enzyme_oxa_48;enzyme_ampc_cmy;enzyme_ampc_dha;mutation_ampc_derepression;mutation_pbp_mosaic
