Class,Share_2025 (%),Share_2000 (%),Share_1975 (%),Share_1950 (%)
Penicillins (J01C),18.0,25.0,48.0,66
Beta-lactamase combinations (J01CR),18.0,10.0,0.0,0
Cephalosporins 1-2G,10.0,8.0,6.0,0
Cephalosporins 3G,5.0,4.0,2.0,0
Cephalosporins 3G/BLI,0.5,0.0,0.0,0
Cephalosporins 4G,2.0,2.0,1.0,0
Anti-MRSA Cephalosporins (5G),0.2,0.0,0.0,0
Siderophore Cephalosporins,0.1,0.0,0.0,0
Novel BL/BLI,0.2,0.0,0.0,0
Monobactams,0.5,0.3,0.0,0
Macrolides (J01F),11.0,11.0,7.0,2
Lincosamides (J01FF),2.0,2.0,1.0,0
Quinolones/Fluoroquinolones (J01M),10.0,9.0,1.0,0
Tetracyclines (J01A),6.0,7.0,11.0,14
Carbapenems (J01DH),2.0,1.0,0.0,0
Aminoglycosides (J01G),2.0,3.0,6.0,8
Sulfonamides (J01E),4.0,5.0,7.0,10
Nitrofurans (J01XE),3.0,2.0,1.0,0
Fosfomycin (J01XX01),1.0,0.5,0.2,0
Glycopeptides (J01XA),2.0,1.5,0.5,0
Lipoglycopeptides & Oxazolidinones,1.0,0.3,0.0,0
Lipopeptides (J01XX09),0.5,0.0,0.0,0
Fidaxomicin,0.1,0.0,0.0,0
Nitroimidazoles,1.0,1.0,0.5,0
Polymyxins (J01XB),0.05,0.01,0.0,0
Rifamycins (J04AB),0.15,0.04,0.0,0
Chloramphenicol (J01BA),0.1,0.03,0.0,0
Other Antibiotics,0.1,0.02,0.0,0
