target_set_version,component,bacteria,drug,value,cell_status,include_in_score,score_exclusion_reason,target_type,provenance_class,source_id,reference_year,geography,infection_or_specimen,care_setting,target_denominator,uncertainty_lower,uncertainty_upper,transformation,rationale,evidence_weight,score_row_weight
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,cefixime,,legacy_unclassified_missing,false,legacy_prevalence_target_missing;model_baseline_potency_below_0.15,not_assigned,not_assigned,legacy_prevalence_note__acinetobacter_baumannii,,,,,,,,,,,0.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,ceftazidime,0.65,active_target,true,,evidence_informed_calibration_benchmark,evidence_informed_benchmark_cell_provenance_unrecovered,legacy_prevalence_note__acinetobacter_baumannii,2025,global_model_scope,unspecified,all_settings,source_definition_unrecovered,,,legacy_cell_transformation_unrecovered,legacy_bacterium_level_note,,1.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,cefepime,0.55,active_target,true,,evidence_informed_calibration_benchmark,evidence_informed_benchmark_cell_provenance_unrecovered,legacy_prevalence_note__acinetobacter_baumannii,2025,global_model_scope,unspecified,all_settings,source_definition_unrecovered,,,legacy_cell_transformation_unrecovered,legacy_bacterium_level_note,,1.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,ceftaroline,,legacy_unclassified_missing,false,legacy_prevalence_target_missing;model_baseline_potency_below_0.15,not_assigned,not_assigned,legacy_prevalence_note__acinetobacter_baumannii,,,,,,,,,,,0.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,meropenem,0.55,active_target,true,,evidence_informed_calibration_benchmark,evidence_informed_benchmark_cell_provenance_unrecovered,legacy_prevalence_note__acinetobacter_baumannii,2025,global_model_scope,unspecified,all_settings,source_definition_unrecovered,,,legacy_cell_transformation_unrecovered,legacy_bacterium_level_note,,1.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,imipenem_c,0.5,active_target,true,,evidence_informed_calibration_benchmark,evidence_informed_benchmark_cell_provenance_unrecovered,legacy_prevalence_note__acinetobacter_baumannii,2025,global_model_scope,unspecified,all_settings,source_definition_unrecovered,,,legacy_cell_transformation_unrecovered,legacy_bacterium_level_note,,1.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,ertapenem,,legacy_unclassified_missing,false,legacy_prevalence_target_missing;model_baseline_potency_below_0.15,not_assigned,not_assigned,legacy_prevalence_note__acinetobacter_baumannii,,,,,,,,,,,0.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,aztreonam,,legacy_unclassified_missing,false,legacy_prevalence_target_missing;model_baseline_potency_below_0.15,not_assigned,not_assigned,legacy_prevalence_note__acinetobacter_baumannii,,,,,,,,,,,0.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,erythromycin,,legacy_unclassified_missing,false,legacy_prevalence_target_missing;model_baseline_potency_below_0.15,not_assigned,not_assigned,legacy_prevalence_note__acinetobacter_baumannii,,,,,,,,,,,0.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,azithromycin,,legacy_unclassified_missing,false,legacy_prevalence_target_missing;model_baseline_potency_below_0.15,not_assigned,not_assigned,legacy_prevalence_note__acinetobacter_baumannii,,,,,,,,,,,0.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,clarithromycin,,legacy_unclassified_missing,false,legacy_prevalence_target_missing;model_baseline_potency_below_0.15,not_assigned,not_assigned,legacy_prevalence_note__acinetobacter_baumannii,,,,,,,,,,,0.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,clindamycin,,legacy_unclassified_missing,false,legacy_prevalence_target_missing;model_baseline_potency_below_0.15,not_assigned,not_assigned,legacy_prevalence_note__acinetobacter_baumannii,,,,,,,,,,,0.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,gentamicin,0.55,active_target,true,,evidence_informed_calibration_benchmark,evidence_informed_benchmark_cell_provenance_unrecovered,legacy_prevalence_note__acinetobacter_baumannii,2025,global_model_scope,unspecified,all_settings,source_definition_unrecovered,,,legacy_cell_transformation_unrecovered,legacy_bacterium_level_note,,1.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,tobramycin,0.5,active_target,true,,evidence_informed_calibration_benchmark,evidence_informed_benchmark_cell_provenance_unrecovered,legacy_prevalence_note__acinetobacter_baumannii,2025,global_model_scope,unspecified,all_settings,source_definition_unrecovered,,,legacy_cell_transformation_unrecovered,legacy_bacterium_level_note,,1.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,amikacin,0.35,active_target,true,,evidence_informed_calibration_benchmark,evidence_informed_benchmark_cell_provenance_unrecovered,legacy_prevalence_note__acinetobacter_baumannii,2025,global_model_scope,unspecified,all_settings,source_definition_unrecovered,,,legacy_cell_transformation_unrecovered,legacy_bacterium_level_note,,1.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,ciprofloxacin,0.7,active_target,true,,evidence_informed_calibration_benchmark,evidence_informed_benchmark_cell_provenance_unrecovered,legacy_prevalence_note__acinetobacter_baumannii,2025,global_model_scope,unspecified,all_settings,source_definition_unrecovered,,,legacy_cell_transformation_unrecovered,legacy_bacterium_level_note,,1.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,levofloxacin,0.68,active_target,true,,evidence_informed_calibration_benchmark,evidence_informed_benchmark_cell_provenance_unrecovered,legacy_prevalence_note__acinetobacter_baumannii,2025,global_model_scope,unspecified,all_settings,source_definition_unrecovered,,,legacy_cell_transformation_unrecovered,legacy_bacterium_level_note,,1.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,moxifloxacin,0.65,active_target,true,,evidence_informed_calibration_benchmark,evidence_informed_benchmark_cell_provenance_unrecovered,legacy_prevalence_note__acinetobacter_baumannii,2025,global_model_scope,unspecified,all_settings,source_definition_unrecovered,,,legacy_cell_transformation_unrecovered,legacy_bacterium_level_note,,1.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,ofloxacin,0.7,active_target,true,,evidence_informed_calibration_benchmark,evidence_informed_benchmark_cell_provenance_unrecovered,legacy_prevalence_note__acinetobacter_baumannii,2025,global_model_scope,unspecified,all_settings,source_definition_unrecovered,,,legacy_cell_transformation_unrecovered,legacy_bacterium_level_note,,1.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,tetracycline,,legacy_unclassified_missing,false,legacy_prevalence_target_missing;model_baseline_potency_below_0.15,not_assigned,not_assigned,legacy_prevalence_note__acinetobacter_baumannii,,,,,,,,,,,0.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,doxycycline,0.55,active_target,true,,evidence_informed_calibration_benchmark,evidence_informed_benchmark_cell_provenance_unrecovered,legacy_prevalence_note__acinetobacter_baumannii,2025,global_model_scope,unspecified,all_settings,source_definition_unrecovered,,,legacy_cell_transformation_unrecovered,legacy_bacterium_level_note,,1.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,minocycline,0.5,active_target,true,,evidence_informed_calibration_benchmark,evidence_informed_benchmark_cell_provenance_unrecovered,legacy_prevalence_note__acinetobacter_baumannii,2025,global_model_scope,unspecified,all_settings,source_definition_unrecovered,,,legacy_cell_transformation_unrecovered,legacy_bacterium_level_note,,1.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,tigecycline,0.5,active_target,true,,evidence_informed_calibration_benchmark,evidence_informed_benchmark_cell_provenance_unrecovered,legacy_prevalence_note__acinetobacter_baumannii,2025,global_model_scope,unspecified,all_settings,source_definition_unrecovered,,,legacy_cell_transformation_unrecovered,legacy_bacterium_level_note,,1.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,vancomycin,,legacy_unclassified_missing,false,legacy_prevalence_target_missing;model_baseline_potency_below_0.15,not_assigned,not_assigned,legacy_prevalence_note__acinetobacter_baumannii,,,,,,,,,,,0.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,fidaxomicin,,legacy_unclassified_missing,false,legacy_prevalence_target_missing;model_baseline_potency_below_0.15,not_assigned,not_assigned,legacy_prevalence_note__acinetobacter_baumannii,,,,,,,,,,,0.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,teicoplanin,,legacy_unclassified_missing,false,legacy_prevalence_target_missing;model_baseline_potency_below_0.15,not_assigned,not_assigned,legacy_prevalence_note__acinetobacter_baumannii,,,,,,,,,,,0.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,dalbavancin,,legacy_unclassified_missing,false,legacy_prevalence_target_missing;model_baseline_potency_below_0.15,not_assigned,not_assigned,legacy_prevalence_note__acinetobacter_baumannii,,,,,,,,,,,0.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,linezolid,,legacy_unclassified_missing,false,legacy_prevalence_target_missing;model_baseline_potency_below_0.15,not_assigned,not_assigned,legacy_prevalence_note__acinetobacter_baumannii,,,,,,,,,,,0.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,tedizolid,,legacy_unclassified_missing,false,legacy_prevalence_target_missing;model_baseline_potency_below_0.15,not_assigned,not_assigned,legacy_prevalence_note__acinetobacter_baumannii,,,,,,,,,,,0.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,daptomycin,,legacy_unclassified_missing,false,legacy_prevalence_target_missing;model_baseline_potency_below_0.15,not_assigned,not_assigned,legacy_prevalence_note__acinetobacter_baumannii,,,,,,,,,,,0.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,quinu_dalfo,,legacy_unclassified_missing,false,legacy_prevalence_target_missing;model_baseline_potency_below_0.15,not_assigned,not_assigned,legacy_prevalence_note__acinetobacter_baumannii,,,,,,,,,,,0.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,trim_sulf,0.65,active_target,true,,evidence_informed_calibration_benchmark,evidence_informed_benchmark_cell_provenance_unrecovered,legacy_prevalence_note__acinetobacter_baumannii,2025,global_model_scope,unspecified,all_settings,source_definition_unrecovered,,,legacy_cell_transformation_unrecovered,legacy_bacterium_level_note,,1.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,chloramphenicol,0.6,active_target,true,,evidence_informed_calibration_benchmark,evidence_informed_benchmark_cell_provenance_unrecovered,legacy_prevalence_note__acinetobacter_baumannii,2025,global_model_scope,unspecified,all_settings,source_definition_unrecovered,,,legacy_cell_transformation_unrecovered,legacy_bacterium_level_note,,1.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,nitrofurantoin,,legacy_unclassified_missing,false,legacy_prevalence_target_missing;model_baseline_potency_below_0.15,not_assigned,not_assigned,legacy_prevalence_note__acinetobacter_baumannii,,,,,,,,,,,0.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,fosfomycin,,legacy_unclassified_missing,false,legacy_prevalence_target_missing,not_assigned,not_assigned,legacy_prevalence_note__acinetobacter_baumannii,,,,,,,,,,,0.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,retapamulin,,legacy_unclassified_missing,false,legacy_prevalence_target_missing;model_baseline_potency_below_0.15,not_assigned,not_assigned,legacy_prevalence_note__acinetobacter_baumannii,,,,,,,,,,,0.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,fusidic_a,,legacy_unclassified_missing,false,legacy_prevalence_target_missing;model_baseline_potency_below_0.15,not_assigned,not_assigned,legacy_prevalence_note__acinetobacter_baumannii,,,,,,,,,,,0.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,metronidazole,,legacy_unclassified_missing,false,legacy_prevalence_target_missing;model_baseline_potency_below_0.15,not_assigned,not_assigned,legacy_prevalence_note__acinetobacter_baumannii,,,,,,,,,,,0.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,furazolidone,,legacy_unclassified_missing,false,legacy_prevalence_target_missing;model_baseline_potency_below_0.15,not_assigned,not_assigned,legacy_prevalence_note__acinetobacter_baumannii,,,,,,,,,,,0.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,rifampicin,0.55,active_target,false,hard_exclusion_rifampicin,evidence_informed_calibration_benchmark,evidence_informed_benchmark_cell_provenance_unrecovered,legacy_prevalence_note__acinetobacter_baumannii,2025,global_model_scope,unspecified,all_settings,source_definition_unrecovered,,,legacy_cell_transformation_unrecovered,legacy_bacterium_level_note,,0.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,amoxicillin_clavulanate,,legacy_unclassified_missing,false,legacy_prevalence_target_missing;model_baseline_potency_below_0.15,not_assigned,not_assigned,legacy_prevalence_note__acinetobacter_baumannii,,,,,,,,,,,0.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,piperacillin_tazobactam,0.45,active_target,true,,evidence_informed_calibration_benchmark,evidence_informed_benchmark_cell_provenance_unrecovered,legacy_prevalence_note__acinetobacter_baumannii,2025,global_model_scope,unspecified,all_settings,source_definition_unrecovered,,,legacy_cell_transformation_unrecovered,legacy_bacterium_level_note,,1.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,ampicillin_sulbactam,,legacy_unclassified_missing,false,legacy_prevalence_target_missing,not_assigned,not_assigned,legacy_prevalence_note__acinetobacter_baumannii,,,,,,,,,,,0.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,ticarcillin_clavulanate,0.5,active_target,true,,evidence_informed_calibration_benchmark,evidence_informed_benchmark_cell_provenance_unrecovered,legacy_prevalence_note__acinetobacter_baumannii,2025,global_model_scope,unspecified,all_settings,source_definition_unrecovered,,,legacy_cell_transformation_unrecovered,legacy_bacterium_level_note,,1.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,ceftazidime_avibactam,0.25,active_target,true,,evidence_informed_calibration_benchmark,evidence_informed_benchmark_cell_provenance_unrecovered,legacy_prevalence_note__acinetobacter_baumannii,2025,global_model_scope,unspecified,all_settings,source_definition_unrecovered,,,legacy_cell_transformation_unrecovered,legacy_bacterium_level_note,,1.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,aztreonam_avibactam,,legacy_unclassified_missing,false,legacy_prevalence_target_missing;model_baseline_potency_below_0.15,not_assigned,not_assigned,legacy_prevalence_note__acinetobacter_baumannii,,,,,,,,,,,0.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,meropenem_vaborbactam,0.18,active_target,true,,evidence_informed_calibration_benchmark,evidence_informed_benchmark_cell_provenance_unrecovered,legacy_prevalence_note__acinetobacter_baumannii,2025,global_model_scope,unspecified,all_settings,source_definition_unrecovered,,,legacy_cell_transformation_unrecovered,legacy_bacterium_level_note,,1.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,colistin,0.12,active_target,true,,evidence_informed_calibration_benchmark,evidence_informed_benchmark_cell_provenance_unrecovered,legacy_prevalence_note__acinetobacter_baumannii,2025,global_model_scope,unspecified,all_settings,source_definition_unrecovered,,,legacy_cell_transformation_unrecovered,legacy_bacterium_level_note,,1.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,flucloxacillin,,legacy_unclassified_missing,false,legacy_prevalence_target_missing;model_baseline_potency_below_0.15,not_assigned,not_assigned,legacy_prevalence_note__acinetobacter_baumannii,,,,,,,,,,,0.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,cefiderocol,0.05,active_target,true,,evidence_informed_calibration_benchmark,evidence_informed_benchmark_cell_provenance_unrecovered,legacy_prevalence_note__acinetobacter_baumannii,2025,global_model_scope,unspecified,all_settings,source_definition_unrecovered,,,legacy_cell_transformation_unrecovered,legacy_bacterium_level_note,,1.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,ceftolozane_tazobactam,,legacy_unclassified_missing,false,legacy_prevalence_target_missing;model_baseline_potency_below_0.15,not_assigned,not_assigned,legacy_prevalence_note__acinetobacter_baumannii,,,,,,,,,,,0.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Citrobacter spp.,sulfanilamide,0.1,active_target,true,,evidence_informed_calibration_benchmark,evidence_informed_benchmark_cell_provenance_unrecovered,legacy_prevalence_note__citrobacter_spp,2025,global_model_scope,unspecified,all_settings,source_definition_unrecovered,,,legacy_cell_transformation_unrecovered,legacy_bacterium_level_note,,1.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Citrobacter spp.,penicillin_g,,legacy_unclassified_missing,false,legacy_prevalence_target_missing;model_baseline_potency_below_0.15,not_assigned,not_assigned,legacy_prevalence_note__citrobacter_spp,,,,,,,,,,,0.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Citrobacter spp.,ampicillin,,legacy_unclassified_missing,false,legacy_prevalence_target_missing;model_baseline_potency_below_0.15,not_assigned,not_assigned,legacy_prevalence_note__citrobacter_spp,,,,,,,,,,,0.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Citrobacter spp.,amoxicillin,,legacy_unclassified_missing,false,legacy_prevalence_target_missing;model_baseline_potency_below_0.15,not_assigned,not_assigned,legacy_prevalence_note__citrobacter_spp,,,,,,,,,,,0.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Citrobacter spp.,piperacillin,0.3,active_target,true,,evidence_informed_calibration_benchmark,evidence_informed_benchmark_cell_provenance_unrecovered,legacy_prevalence_note__citrobacter_spp,2025,global_model_scope,unspecified,all_settings,source_definition_unrecovered,,,legacy_cell_transformation_unrecovered,legacy_bacterium_level_note,,1.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Citrobacter spp.,ticarcillin,0.3,active_target,true,,evidence_informed_calibration_benchmark,evidence_informed_benchmark_cell_provenance_unrecovered,legacy_prevalence_note__citrobacter_spp,2025,global_model_scope,unspecified,all_settings,source_definition_unrecovered,,,legacy_cell_transformation_unrecovered,legacy_bacterium_level_note,,1.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Citrobacter spp.,cephalexin,,legacy_unclassified_missing,false,legacy_prevalence_target_missing;model_baseline_potency_below_0.15,not_assigned,not_assigned,legacy_prevalence_note__citrobacter_spp,,,,,,,,,,,0.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Citrobacter spp.,cefazolin,,legacy_unclassified_missing,false,legacy_prevalence_target_missing;model_baseline_potency_below_0.15,not_assigned,not_assigned,legacy_prevalence_note__citrobacter_spp,,,,,,,,,,,0.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Citrobacter spp.,cefuroxime,0.3,active_target,true,,evidence_informed_calibration_benchmark,evidence_informed_benchmark_cell_provenance_unrecovered,legacy_prevalence_note__citrobacter_spp,2025,global_model_scope,unspecified,all_settings,source_definition_unrecovered,,,legacy_cell_transformation_unrecovered,legacy_bacterium_level_note,,1.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Citrobacter spp.,ceftriaxone,0.25,active_target,true,,evidence_informed_calibration_benchmark,evidence_informed_benchmark_cell_provenance_unrecovered,legacy_prevalence_note__citrobacter_spp,2025,global_model_scope,unspecified,all_settings,source_definition_unrecovered,,,legacy_cell_transformation_unrecovered,legacy_bacterium_level_note,,1.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Citrobacter spp.,cefixime,0.25,active_target,true,,evidence_informed_calibration_benchmark,evidence_informed_benchmark_cell_provenance_unrecovered,legacy_prevalence_note__citrobacter_spp,2025,global_model_scope,unspecified,all_settings,source_definition_unrecovered,,,legacy_cell_transformation_unrecovered,legacy_bacterium_level_note,,1.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Citrobacter spp.,ceftazidime,0.35,active_target,true,,evidence_informed_calibration_benchmark,evidence_informed_benchmark_cell_provenance_unrecovered,legacy_prevalence_note__citrobacter_spp,2025,global_model_scope,unspecified,all_settings,source_definition_unrecovered,,,legacy_cell_transformation_unrecovered,legacy_bacterium_level_note,,1.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Citrobacter spp.,cefepime,0.3,active_target,true,,evidence_informed_calibration_benchmark,evidence_informed_benchmark_cell_provenance_unrecovered,legacy_prevalence_note__citrobacter_spp,2025,global_model_scope,unspecified,all_settings,source_definition_unrecovered,,,legacy_cell_transformation_unrecovered,legacy_bacterium_level_note,,1.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Citrobacter spp.,ceftaroline,,legacy_unclassified_missing,false,legacy_prevalence_target_missing;model_baseline_potency_below_0.15,not_assigned,not_assigned,legacy_prevalence_note__citrobacter_spp,,,,,,,,,,,0.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Citrobacter spp.,meropenem,0.1,active_target,true,,evidence_informed_calibration_benchmark,evidence_informed_benchmark_cell_provenance_unrecovered,legacy_prevalence_note__citrobacter_spp,2025,global_model_scope,unspecified,all_settings,source_definition_unrecovered,,,legacy_cell_transformation_unrecovered,legacy_bacterium_level_note,,1.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Citrobacter spp.,imipenem_c,0.1,active_target,true,,evidence_informed_calibration_benchmark,evidence_informed_benchmark_cell_provenance_unrecovered,legacy_prevalence_note__citrobacter_spp,2025,global_model_scope,unspecified,all_settings,source_definition_unrecovered,,,legacy_cell_transformation_unrecovered,legacy_bacterium_level_note,,1.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Citrobacter spp.,ertapenem,0.15,active_target,true,,evidence_informed_calibration_benchmark,evidence_informed_benchmark_cell_provenance_unrecovered,legacy_prevalence_note__citrobacter_spp,2025,global_model_scope,unspecified,all_settings,source_definition_unrecovered,,,legacy_cell_transformation_unrecovered,legacy_bacterium_level_note,,1.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Citrobacter spp.,aztreonam,0.3,active_target,true,,evidence_informed_calibration_benchmark,evidence_informed_benchmark_cell_provenance_unrecovered,legacy_prevalence_note__citrobacter_spp,2025,global_model_scope,unspecified,all_settings,source_definition_unrecovered,,,legacy_cell_transformation_unrecovered,legacy_bacterium_level_note,,1.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Citrobacter spp.,erythromycin,,legacy_unclassified_missing,false,legacy_prevalence_target_missing;model_baseline_potency_below_0.15,not_assigned,not_assigned,legacy_prevalence_note__citrobacter_spp,,,,,,,,,,,0.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Citrobacter spp.,azithromycin,,legacy_unclassified_missing,false,legacy_prevalence_target_missing;model_baseline_potency_below_0.15,not_assigned,not_assigned,legacy_prevalence_note__citrobacter_spp,,,,,,,,,,,0.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Citrobacter spp.,clarithromycin,,legacy_unclassified_missing,false,legacy_prevalence_target_missing;model_baseline_potency_below_0.15,not_assigned,not_assigned,legacy_prevalence_note__citrobacter_spp,,,,,,,,,,,0.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Citrobacter spp.,clindamycin,,legacy_unclassified_missing,false,legacy_prevalence_target_missing;model_baseline_potency_below_0.15,not_assigned,not_assigned,legacy_prevalence_note__citrobacter_spp,,,,,,,,,,,0.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Citrobacter spp.,gentamicin,0.3,active_target,true,,evidence_informed_calibration_benchmark,evidence_informed_benchmark_cell_provenance_unrecovered,legacy_prevalence_note__citrobacter_spp,2025,global_model_scope,unspecified,all_settings,source_definition_unrecovered,,,legacy_cell_transformation_unrecovered,legacy_bacterium_level_note,,1.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Citrobacter spp.,tobramycin,0.35,active_target,true,,evidence_informed_calibration_benchmark,evidence_informed_benchmark_cell_provenance_unrecovered,legacy_prevalence_note__citrobacter_spp,2025,global_model_scope,unspecified,all_settings,source_definition_unrecovered,,,legacy_cell_transformation_unrecovered,legacy_bacterium_level_note,,1.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Citrobacter spp.,amikacin,0.25,active_target,true,,evidence_informed_calibration_benchmark,evidence_informed_benchmark_cell_provenance_unrecovered,legacy_prevalence_note__citrobacter_spp,2025,global_model_scope,unspecified,all_settings,source_definition_unrecovered,,,legacy_cell_transformation_unrecovered,legacy_bacterium_level_note,,1.0
