target_set_version,component,bacteria,drug,value,cell_status,include_in_score,score_exclusion_reason,target_type,provenance_class,source_id,reference_year,geography,infection_or_specimen,care_setting,target_denominator,uncertainty_lower,uncertainty_upper,transformation,rationale,evidence_weight,score_row_weight
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,sulfanilamide,,legacy_unclassified_missing,false,legacy_prevalence_target_missing;model_baseline_potency_below_0.15,not_assigned,not_assigned,legacy_prevalence_note__acinetobacter_baumannii,,,,,,,,,,,0.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,penicillin_g,,legacy_unclassified_missing,false,legacy_prevalence_target_missing;model_baseline_potency_below_0.15,not_assigned,not_assigned,legacy_prevalence_note__acinetobacter_baumannii,,,,,,,,,,,0.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,ampicillin,,legacy_unclassified_missing,false,legacy_prevalence_target_missing;model_baseline_potency_below_0.15,not_assigned,not_assigned,legacy_prevalence_note__acinetobacter_baumannii,,,,,,,,,,,0.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,amoxicillin,,legacy_unclassified_missing,false,legacy_prevalence_target_missing;model_baseline_potency_below_0.15,not_assigned,not_assigned,legacy_prevalence_note__acinetobacter_baumannii,,,,,,,,,,,0.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,piperacillin,0.7,active_target,true,,evidence_informed_calibration_benchmark,evidence_informed_benchmark_cell_provenance_unrecovered,legacy_prevalence_note__acinetobacter_baumannii,2025,global_model_scope,unspecified,all_settings,source_definition_unrecovered,,,legacy_cell_transformation_unrecovered,legacy_bacterium_level_note,,1.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,ticarcillin,0.65,active_target,true,,evidence_informed_calibration_benchmark,evidence_informed_benchmark_cell_provenance_unrecovered,legacy_prevalence_note__acinetobacter_baumannii,2025,global_model_scope,unspecified,all_settings,source_definition_unrecovered,,,legacy_cell_transformation_unrecovered,legacy_bacterium_level_note,,1.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,cephalexin,,legacy_unclassified_missing,false,legacy_prevalence_target_missing;model_baseline_potency_below_0.15,not_assigned,not_assigned,legacy_prevalence_note__acinetobacter_baumannii,,,,,,,,,,,0.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,cefazolin,,legacy_unclassified_missing,false,legacy_prevalence_target_missing;model_baseline_potency_below_0.15,not_assigned,not_assigned,legacy_prevalence_note__acinetobacter_baumannii,,,,,,,,,,,0.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,cefuroxime,,legacy_unclassified_missing,false,legacy_prevalence_target_missing;model_baseline_potency_below_0.15,not_assigned,not_assigned,legacy_prevalence_note__acinetobacter_baumannii,,,,,,,,,,,0.0
resistance_targets_v1,resistance_prevalence_any_r_positive,Acinetobacter baumannii,ceftriaxone,,legacy_unclassified_missing,false,legacy_prevalence_target_missing;model_baseline_potency_below_0.15,not_assigned,not_assigned,legacy_prevalence_note__acinetobacter_baumannii,,,,,,,,,,,0.0
