parameter,region,before,after,multiplier,fitted
demo_europe_age_neg32000_neg28000,europe,0.01184,0.008863380141,0.7485962956925675675675675676,True
demo_europe_age_neg28000_neg24000,europe,0.0111,0.010467835703,0.9430482615315315315315315315,True
demo_europe_age_neg24000_neg20000,europe,0.01036,0.010250036664,0.9893857783783783783783783784,True
demo_europe_age_neg20000_neg16000,europe,0.00962,0.010270755938,1.067646147401247401247401247,True
demo_europe_age_neg16000_neg12000,europe,0.00888,0.012205293722,1.374470013738738738738738739,True
demo_europe_age_neg12000_neg8000,europe,0.00814,0.011394565728,1.399823799508599508599508600,True
demo_europe_age_neg8000_neg4000,europe,0.0074,0.009812238302,1.325978148918918918918918919,True
demo_europe_age_neg4000_0,europe,0.00666,0.00666,1,False
demo_europe_age_0_4000,europe,0.00592,0.00592,1,False
demo_europe_age_4000_8000,europe,0.00518,0.00518,1,False
demo_europe_age_8000_12000,europe,0.00444,0.00444,1,False
demo_europe_age_12000_16000,europe,0.0037,0.0037,1,False
demo_europe_age_16000_20000,europe,0.00296,0.00296,1,False
demo_europe_age_20000_24000,europe,0.00222,0.00222,1,False
demo_europe_age_24000_28000,europe,0.00148,0.00148,1,False
demo_europe_age_28000_32000,europe,0.00148,0.00148,1,False
demo_north_america_age_neg40000_neg36000,north_america,0.01308,0.01308,1,False
demo_north_america_age_neg36000_neg32000,north_america,0.01199,0.008090049260,0.6747330492076730608840700584,True
demo_north_america_age_neg32000_neg28000,north_america,0.0109,0.009088775655,0.8338326288990825688073394495,True
demo_north_america_age_neg28000_neg24000,north_america,0.00981,0.009888471225,1.007999105504587155963302752,True
demo_north_america_age_neg24000_neg20000,north_america,0.00872,0.009090775310,1.042520104357798165137614679,True
demo_north_america_age_neg20000_neg16000,north_america,0.00763,0.008351424886,1.094551099082568807339449541,True
demo_north_america_age_neg16000_neg12000,north_america,0.00654,0.008535543324,1.305128948623853211009174312,True
demo_north_america_age_neg12000_neg8000,north_america,0.00545,0.007054545627,1.294412041651376146788990826,True
demo_north_america_age_neg8000_neg4000,north_america,0.00436,0.005300414713,1.215691447935779816513761468,True
demo_north_america_age_neg4000_0,north_america,0.00327,0.00327,1,False
demo_north_america_age_0_4000,north_america,0.00327,0.00327,1,False
demo_north_america_age_4000_8000,north_america,0.00327,0.00327,1,False
demo_north_america_age_8000_12000,north_america,0.00218,0.00218,1,False
demo_north_america_age_12000_16000,north_america,0.00218,0.00218,1,False
demo_north_america_age_16000_20000,north_america,0.00218,0.00218,1,False
demo_north_america_age_20000_24000,north_america,0.00218,0.00218,1,False
demo_north_america_age_24000_28000,north_america,0.00109,0.00109,1,False
demo_north_america_age_28000_32000,north_america,0.00109,0.00109,1,False
demo_south_america_age_neg40000_neg36000,south_america,0.0107,0.0107,1,False
demo_south_america_age_neg36000_neg32000,south_america,0.00963,0.006165260494,0.6402139661474558670820353063,True
demo_south_america_age_neg32000_neg28000,south_america,0.00856,0.006926705035,0.8091945134345794392523364486,True
demo_south_america_age_neg28000_neg24000,south_america,0.00749,0.008233633960,1.099283572763684913217623498,True
demo_south_america_age_neg24000_neg20000,south_america,0.00642,0.007283119662,1.134442314953271028037383178,True
demo_south_america_age_neg20000_neg16000,south_america,0.00535,0.006144249206,1.148457795514018691588785047,True
demo_south_america_age_neg16000_neg12000,south_america,0.00428,0.005319657549,1.242910642289719626168224299,True
demo_south_america_age_neg12000_neg8000,south_america,0.00428,0.005356282871,1.251467960514018691588785047,True
demo_south_america_age_neg8000_neg4000,south_america,0.00321,0.003791091223,1.181025303115264797507788162,True
demo_south_america_age_neg4000_0,south_america,0.00214,0.00214,1,False
demo_south_america_age_0_4000,south_america,0.00214,0.00214,1,False
demo_south_america_age_4000_8000,south_america,0.00214,0.00214,1,False
demo_south_america_age_8000_12000,south_america,0.00107,0.00107,1,False
demo_south_america_age_12000_16000,south_america,0.00107,0.00107,1,False
demo_south_america_age_16000_20000,south_america,0.00107,0.00107,1,False
demo_south_america_age_20000_24000,south_america,0.00107,0.00107,1,False
demo_south_america_age_24000_28000,south_america,0.00107,0.00107,1,False
demo_south_america_age_28000_32000,south_america,0.00107,0.00107,1,False
demo_oceania_age_neg40000_neg36000,oceania,0.00088,0.00088,1,False
demo_oceania_age_neg36000_neg32000,oceania,0.00088,0.000691816416,0.7861550181818181818181818182,True
demo_oceania_age_neg32000_neg28000,oceania,0.00066,0.000701919921,1.063515031818181818181818182,True
demo_oceania_age_neg28000_neg24000,oceania,0.00066,0.000655247416,0.9927991151515151515151515152,True
demo_oceania_age_neg24000_neg20000,oceania,0.00066,0.000650103210,0.9850048636363636363636363636,True
demo_oceania_age_neg20000_neg16000,oceania,0.00066,0.000665910480,1.008955272727272727272727273,True
demo_oceania_age_neg16000_neg12000,oceania,0.00044,0.000488928877,1.111201993181818181818181818,True
demo_oceania_age_neg12000_neg8000,oceania,0.00044,0.000496874751,1.129260797727272727272727273,True
demo_oceania_age_neg8000_neg4000,oceania,0.00044,0.000489198929,1.111815747727272727272727273,True
demo_oceania_age_neg4000_0,oceania,0.00022,0.00022,1,False
demo_oceania_age_0_4000,oceania,0.00044,0.00044,1,False
demo_oceania_age_4000_8000,oceania,0.00044,0.00044,1,False
demo_oceania_age_8000_12000,oceania,0.00044,0.00044,1,False
demo_oceania_age_12000_16000,oceania,0.00022,0.00022,1,False
demo_oceania_age_16000_20000,oceania,0.00022,0.00022,1,False
demo_oceania_age_20000_24000,oceania,0.00022,0.00022,1,False
demo_oceania_age_24000_28000,oceania,0.00022,0.00022,1,False
demo_oceania_age_28000_32000,oceania,0.00022,0.00022,1,False
