parameter,region,before,after,multiplier,fitted
demo_asia_age_neg40000_neg36000,asia,0.11448,0.11448,1,False
demo_asia_age_neg36000_neg32000,asia,0.10494,0.074370660332,0.7086969728606822946445587955,True
demo_asia_age_neg32000_neg28000,asia,0.0954,0.085931979163,0.9007544985639412997903563941,True
demo_asia_age_neg28000_neg24000,asia,0.08586,0.089102624883,1.037766420719776380153738644,True
demo_asia_age_neg24000_neg20000,asia,0.07632,0.080911186756,1.060157059171907756813417191,True
demo_asia_age_neg20000_neg16000,asia,0.06678,0.072590510550,1.087009741689128481581311770,True
demo_asia_age_neg16000_neg12000,asia,0.05724,0.068980481563,1.205109740793151642208245982,True
demo_asia_age_neg12000_neg8000,asia,0.0477,0.056951752861,1.193957083039832285115303983,True
demo_asia_age_neg8000_neg4000,asia,0.03816,0.043560803892,1.141530500314465408805031447,True
demo_asia_age_neg4000_0,asia,0.02862,0.02862,1,False
demo_asia_age_0_4000,asia,0.02332,0.02332,1,False
demo_asia_age_4000_8000,asia,0.02014,0.02014,1,False
demo_asia_age_8000_12000,asia,0.01696,0.01696,1,False
demo_asia_age_12000_16000,asia,0.01378,0.01378,1,False
demo_asia_age_16000_20000,asia,0.00954,0.00954,1,False
demo_asia_age_20000_24000,asia,0.00636,0.00636,1,False
demo_asia_age_24000_28000,asia,0.00318,0.00318,1,False
demo_asia_age_28000_32000,asia,0.00106,0.00106,1,False
demo_africa_age_neg40000_neg36000,africa,0.03465,0.03465,1,False
demo_africa_age_neg36000_neg32000,africa,0.0315,0.045435858454,1.442408204888888888888888889,True
demo_africa_age_neg32000_neg28000,africa,0.0294,0.039604893297,1.347105214183673469387755102,True
demo_africa_age_neg28000_neg24000,africa,0.02625,0.027194119065,1.035966440571428571428571429,True
demo_africa_age_neg24000_neg20000,africa,0.02415,0.023417957610,0.9696876857142857142857142857,True
demo_africa_age_neg20000_neg16000,africa,0.021,0.018376562187,0.8750743898571428571428571429,True
demo_africa_age_neg16000_neg12000,africa,0.0189,0.009518262017,0.5036117469312169312169312169,True
demo_africa_age_neg12000_neg8000,africa,0.01575,0.008147817890,0.5173217707936507936507936508,True
demo_africa_age_neg8000_neg4000,africa,0.01365,0.008904529480,0.6523464820512820512820512821,True
demo_africa_age_neg4000_0,africa,0.0105,0.0105,1,False
demo_africa_age_0_4000,africa,0.00945,0.00945,1,False
demo_africa_age_4000_8000,africa,0.00735,0.00735,1,False
demo_africa_age_8000_12000,africa,0.00525,0.00525,1,False
demo_africa_age_12000_16000,africa,0.0042,0.0042,1,False
demo_africa_age_16000_20000,africa,0.0021,0.0021,1,False
demo_africa_age_20000_24000,africa,0.00105,0.00105,1,False
demo_africa_age_24000_28000,africa,0.00105,0.00105,1,False
demo_africa_age_28000_32000,africa,0.00105,0.00105,1,False
demo_europe_age_neg40000_neg36000,europe,0.0148,0.0148,1,False
demo_europe_age_neg36000_neg32000,europe,0.01332,0.007395893802,0.5552472824324324324324324324,True
