parameter,configured_weight
demo_asia_age_neg40000_neg36000,0.11448
demo_asia_age_neg36000_neg32000,0.10494
demo_asia_age_neg32000_neg28000,0.0954
demo_asia_age_neg28000_neg24000,0.08586
demo_asia_age_neg24000_neg20000,0.07632
demo_asia_age_neg20000_neg16000,0.06678
demo_asia_age_neg16000_neg12000,0.05724
demo_asia_age_neg12000_neg8000,0.0477
demo_asia_age_neg8000_neg4000,0.03816
demo_asia_age_neg4000_0,0.02862
demo_asia_age_0_4000,0.02332
demo_asia_age_4000_8000,0.02014
demo_asia_age_8000_12000,0.01696
demo_asia_age_12000_16000,0.01378
demo_asia_age_16000_20000,0.00954
demo_asia_age_20000_24000,0.00636
demo_asia_age_24000_28000,0.00318
demo_asia_age_28000_32000,0.00106
demo_africa_age_neg40000_neg36000,0.03465
demo_africa_age_neg36000_neg32000,0.0315
demo_africa_age_neg32000_neg28000,0.0294
demo_africa_age_neg28000_neg24000,0.02625
demo_africa_age_neg24000_neg20000,0.02415
demo_africa_age_neg20000_neg16000,0.021
demo_africa_age_neg16000_neg12000,0.0189
demo_africa_age_neg12000_neg8000,0.01575
demo_africa_age_neg8000_neg4000,0.01365
demo_africa_age_neg4000_0,0.0105
demo_africa_age_0_4000,0.00945
demo_africa_age_4000_8000,0.00735
demo_africa_age_8000_12000,0.00525
demo_africa_age_12000_16000,0.0042
demo_africa_age_16000_20000,0.0021
demo_africa_age_20000_24000,0.00105
demo_africa_age_24000_28000,0.00105
demo_africa_age_28000_32000,0.00105
demo_europe_age_neg40000_neg36000,0.0148
demo_europe_age_neg36000_neg32000,0.01332
demo_europe_age_neg32000_neg28000,0.01184
demo_europe_age_neg28000_neg24000,0.0111
demo_europe_age_neg24000_neg20000,0.01036
demo_europe_age_neg20000_neg16000,0.00962
demo_europe_age_neg16000_neg12000,0.00888
demo_europe_age_neg12000_neg8000,0.00814
demo_europe_age_neg8000_neg4000,0.0074
demo_europe_age_neg4000_0,0.00666
demo_europe_age_0_4000,0.00592
demo_europe_age_4000_8000,0.00518
demo_europe_age_8000_12000,0.00444
demo_europe_age_12000_16000,0.0037
demo_europe_age_16000_20000,0.00296
demo_europe_age_20000_24000,0.00222
demo_europe_age_24000_28000,0.00148
demo_europe_age_28000_32000,0.00148
demo_north_america_age_neg40000_neg36000,0.01308
demo_north_america_age_neg36000_neg32000,0.01199
demo_north_america_age_neg32000_neg28000,0.0109
demo_north_america_age_neg28000_neg24000,0.00981
demo_north_america_age_neg24000_neg20000,0.00872
demo_north_america_age_neg20000_neg16000,0.00763
demo_north_america_age_neg16000_neg12000,0.00654
demo_north_america_age_neg12000_neg8000,0.00545
demo_north_america_age_neg8000_neg4000,0.00436
demo_north_america_age_neg4000_0,0.00327
demo_north_america_age_0_4000,0.00327
demo_north_america_age_4000_8000,0.00327
demo_north_america_age_8000_12000,0.00218
demo_north_america_age_12000_16000,0.00218
demo_north_america_age_16000_20000,0.00218
demo_north_america_age_20000_24000,0.00218
demo_north_america_age_24000_28000,0.00109
demo_north_america_age_28000_32000,0.00109
demo_south_america_age_neg40000_neg36000,0.0107
demo_south_america_age_neg36000_neg32000,0.00963
demo_south_america_age_neg32000_neg28000,0.00856
demo_south_america_age_neg28000_neg24000,0.00749
demo_south_america_age_neg24000_neg20000,0.00642
demo_south_america_age_neg20000_neg16000,0.00535
demo_south_america_age_neg16000_neg12000,0.00428
demo_south_america_age_neg12000_neg8000,0.00428
demo_south_america_age_neg8000_neg4000,0.00321
demo_south_america_age_neg4000_0,0.00214
demo_south_america_age_0_4000,0.00214
demo_south_america_age_4000_8000,0.00214
demo_south_america_age_8000_12000,0.00107
demo_south_america_age_12000_16000,0.00107
demo_south_america_age_16000_20000,0.00107
demo_south_america_age_20000_24000,0.00107
demo_south_america_age_24000_28000,0.00107
demo_south_america_age_28000_32000,0.00107
demo_oceania_age_neg40000_neg36000,0.00088
demo_oceania_age_neg36000_neg32000,0.00088
demo_oceania_age_neg32000_neg28000,0.00066
demo_oceania_age_neg28000_neg24000,0.00066
demo_oceania_age_neg24000_neg20000,0.00066
demo_oceania_age_neg20000_neg16000,0.00066
demo_oceania_age_neg16000_neg12000,0.00044
demo_oceania_age_neg12000_neg8000,0.00044
demo_oceania_age_neg8000_neg4000,0.00044
demo_oceania_age_neg4000_0,0.00022
demo_oceania_age_0_4000,0.00044
demo_oceania_age_4000_8000,0.00044
demo_oceania_age_8000_12000,0.00044
demo_oceania_age_12000_16000,0.00022
demo_oceania_age_16000_20000,0.00022
demo_oceania_age_20000_24000,0.00022
demo_oceania_age_24000_28000,0.00022
demo_oceania_age_28000_32000,0.00022
