run,region,reference_date,population_share_percent,0_5_percent,6_14_percent,15_49_percent,50_79_percent,80plus_percent,0_5_target_percent,6_14_target_percent,15_49_target_percent,50_79_target_percent,80plus_target_percent
071999,asia,2023-07-01 (nearest model day 34128),60.20417093506829,8.242599666118622,14.160600304603577,49.9767005443573,24.546900391578674,3.073200024664402,8.585039596443,14.3858328217553,51.21406262648009,24.0502042324841,1.7648607228374
071999,africa,2023-07-01 (nearest model day 34128),17.51517967992076,16.962899267673492,22.04470038414001,48.81159961223602,10.66809967160225,1.5127000398933887,16.994040923390198,22.4398220649347,49.0379329369755,11.0702207892746,0.457983285425
071999,europe,2023-07-01 (nearest model day 34128),9.144425750164515,5.584799870848656,9.922699630260468,43.32379996776581,34.32120084762573,6.847500056028366,5.6335167736803,9.8739438269159,43.907315502174896,35.1802167710125,5.405007126216501
071999,north_america,2023-07-01 (nearest model day 34128),7.2301748292074,7.637699693441391,12.733699381351473,48.26149940490723,27.21010148525238,4.157000035047531,7.7177329852459,12.623004751040002,48.6688889243593,27.8926000540667,3.0977732852881
071999,south_america,2023-07-01 (nearest model day 34128),5.262243811100332,8.004199713468552,13.357999920845032,51.711100339889526,24.15750026702881,2.7692999690771103,8.165422173023,13.3873777370513,52.4832966889204,24.0187973338902,1.9451060671151
071999,oceania,2023-07-01 (nearest model day 34128),0.6438049945387073,8.754199743270874,13.3432999253273,47.97019958496094,25.52489936351776,4.407399892807007,9.0063630216475,13.6594750009476,48.321360368056496,25.861606095342697,3.1511955140058
545650,asia,2023-07-01 (nearest model day 34128),60.17029669873856,8.280400186777115,14.173699915409088,50.02660155296326,24.468299746513367,3.051000088453293,8.585039596443,14.3858328217553,51.21406262648009,24.0502042324841,1.7648607228374
545650,africa,2023-07-01 (nearest model day 34128),17.527385639538995,17.004799842834473,22.03660011291504,48.74919950962067,10.687799751758575,1.5216000378131866,16.994040923390198,22.4398220649347,49.0379329369755,11.0702207892746,0.457983285425
545650,europe,2023-07-01 (nearest model day 34128),9.131241724725314,5.589200183749199,9.992899745702744,43.32779943943024,34.255099296569824,6.835000216960907,5.6335167736803,9.8739438269159,43.907315502174896,35.1802167710125,5.405007126216501
545650,north_america,2023-07-01 (nearest model day 34128),7.235321309072812,7.590699940919876,12.731100618839264,48.37230145931244,27.207601070404053,4.098299890756607,7.7177329852459,12.623004751040002,48.6688889243593,27.8926000540667,3.0977732852881
545650,south_america,2023-07-01 (nearest model day 34128),5.290768425204739,7.941500097513199,13.376900553703308,51.68280005455017,24.19250011444092,2.806299924850464,8.165422173023,13.3873777370513,52.4832966889204,24.0187973338902,1.9451060671151
545650,oceania,2023-07-01 (nearest model day 34128),0.6449862027195873,8.423099666833878,13.68200033903122,47.79239892959595,25.83180069923401,4.270699992775917,9.0063630216475,13.6594750009476,48.321360368056496,25.861606095342697,3.1511955140058
