parameter,region,before,multiplier,after
demo_asia_age_neg40000_neg36000,asia,0.108,1.06,0.11448
demo_asia_age_neg36000_neg32000,asia,0.099,1.06,0.10494
demo_asia_age_neg32000_neg28000,asia,0.090,1.06,0.09540
demo_asia_age_neg28000_neg24000,asia,0.081,1.06,0.08586
demo_asia_age_neg24000_neg20000,asia,0.072,1.06,0.07632
demo_asia_age_neg20000_neg16000,asia,0.063,1.06,0.06678
demo_asia_age_neg16000_neg12000,asia,0.054,1.06,0.05724
demo_asia_age_neg12000_neg8000,asia,0.045,1.06,0.04770
demo_asia_age_neg8000_neg4000,asia,0.036,1.06,0.03816
demo_asia_age_neg4000_0,asia,0.027,1.06,0.02862
demo_asia_age_0_4000,asia,0.022,1.06,0.02332
demo_asia_age_4000_8000,asia,0.019,1.06,0.02014
demo_asia_age_8000_12000,asia,0.016,1.06,0.01696
demo_asia_age_12000_16000,asia,0.013,1.06,0.01378
demo_asia_age_16000_20000,asia,0.009,1.06,0.00954
demo_asia_age_20000_24000,asia,0.006,1.06,0.00636
demo_asia_age_24000_28000,asia,0.003,1.06,0.00318
demo_asia_age_28000_32000,asia,0.001,1.06,0.00106
demo_africa_age_neg40000_neg36000,africa,0.033,1.05,0.03465
demo_africa_age_neg36000_neg32000,africa,0.030,1.05,0.03150
demo_africa_age_neg32000_neg28000,africa,0.028,1.05,0.02940
demo_africa_age_neg28000_neg24000,africa,0.025,1.05,0.02625
demo_africa_age_neg24000_neg20000,africa,0.023,1.05,0.02415
demo_africa_age_neg20000_neg16000,africa,0.020,1.05,0.02100
demo_africa_age_neg16000_neg12000,africa,0.018,1.05,0.01890
demo_africa_age_neg12000_neg8000,africa,0.015,1.05,0.01575
demo_africa_age_neg8000_neg4000,africa,0.013,1.05,0.01365
demo_africa_age_neg4000_0,africa,0.010,1.05,0.01050
demo_africa_age_0_4000,africa,0.009,1.05,0.00945
demo_africa_age_4000_8000,africa,0.007,1.05,0.00735
demo_africa_age_8000_12000,africa,0.005,1.05,0.00525
demo_africa_age_12000_16000,africa,0.004,1.05,0.00420
demo_africa_age_16000_20000,africa,0.002,1.05,0.00210
demo_africa_age_20000_24000,africa,0.001,1.05,0.00105
demo_africa_age_24000_28000,africa,0.001,1.05,0.00105
demo_africa_age_28000_32000,africa,0.001,1.05,0.00105
demo_europe_age_neg40000_neg36000,europe,0.020,0.74,0.01480
demo_europe_age_neg36000_neg32000,europe,0.018,0.74,0.01332
demo_europe_age_neg32000_neg28000,europe,0.016,0.74,0.01184
demo_europe_age_neg28000_neg24000,europe,0.015,0.74,0.01110
demo_europe_age_neg24000_neg20000,europe,0.014,0.74,0.01036
demo_europe_age_neg20000_neg16000,europe,0.013,0.74,0.00962
demo_europe_age_neg16000_neg12000,europe,0.012,0.74,0.00888
demo_europe_age_neg12000_neg8000,europe,0.011,0.74,0.00814
demo_europe_age_neg8000_neg4000,europe,0.010,0.74,0.00740
demo_europe_age_neg4000_0,europe,0.009,0.74,0.00666
demo_europe_age_0_4000,europe,0.008,0.74,0.00592
demo_europe_age_4000_8000,europe,0.007,0.74,0.00518
demo_europe_age_8000_12000,europe,0.006,0.74,0.00444
demo_europe_age_12000_16000,europe,0.005,0.74,0.00370
demo_europe_age_16000_20000,europe,0.004,0.74,0.00296
demo_europe_age_20000_24000,europe,0.003,0.74,0.00222
demo_europe_age_24000_28000,europe,0.002,0.74,0.00148
demo_europe_age_28000_32000,europe,0.002,0.74,0.00148
demo_north_america_age_neg40000_neg36000,north_america,0.012,1.09,0.01308
demo_north_america_age_neg36000_neg32000,north_america,0.011,1.09,0.01199
demo_north_america_age_neg32000_neg28000,north_america,0.010,1.09,0.01090
demo_north_america_age_neg28000_neg24000,north_america,0.009,1.09,0.00981
demo_north_america_age_neg24000_neg20000,north_america,0.008,1.09,0.00872
demo_north_america_age_neg20000_neg16000,north_america,0.007,1.09,0.00763
demo_north_america_age_neg16000_neg12000,north_america,0.006,1.09,0.00654
demo_north_america_age_neg12000_neg8000,north_america,0.005,1.09,0.00545
demo_north_america_age_neg8000_neg4000,north_america,0.004,1.09,0.00436
demo_north_america_age_neg4000_0,north_america,0.003,1.09,0.00327
demo_north_america_age_0_4000,north_america,0.003,1.09,0.00327
demo_north_america_age_4000_8000,north_america,0.003,1.09,0.00327
demo_north_america_age_8000_12000,north_america,0.002,1.09,0.00218
demo_north_america_age_12000_16000,north_america,0.002,1.09,0.00218
demo_north_america_age_16000_20000,north_america,0.002,1.09,0.00218
demo_north_america_age_20000_24000,north_america,0.002,1.09,0.00218
demo_north_america_age_24000_28000,north_america,0.001,1.09,0.00109
demo_north_america_age_28000_32000,north_america,0.001,1.09,0.00109
demo_south_america_age_neg40000_neg36000,south_america,0.010,1.07,0.01070
demo_south_america_age_neg36000_neg32000,south_america,0.009,1.07,0.00963
demo_south_america_age_neg32000_neg28000,south_america,0.008,1.07,0.00856
demo_south_america_age_neg28000_neg24000,south_america,0.007,1.07,0.00749
demo_south_america_age_neg24000_neg20000,south_america,0.006,1.07,0.00642
demo_south_america_age_neg20000_neg16000,south_america,0.005,1.07,0.00535
demo_south_america_age_neg16000_neg12000,south_america,0.004,1.07,0.00428
demo_south_america_age_neg12000_neg8000,south_america,0.004,1.07,0.00428
demo_south_america_age_neg8000_neg4000,south_america,0.003,1.07,0.00321
demo_south_america_age_neg4000_0,south_america,0.002,1.07,0.00214
demo_south_america_age_0_4000,south_america,0.002,1.07,0.00214
demo_south_america_age_4000_8000,south_america,0.002,1.07,0.00214
demo_south_america_age_8000_12000,south_america,0.001,1.07,0.00107
demo_south_america_age_12000_16000,south_america,0.001,1.07,0.00107
demo_south_america_age_16000_20000,south_america,0.001,1.07,0.00107
demo_south_america_age_20000_24000,south_america,0.001,1.07,0.00107
demo_south_america_age_24000_28000,south_america,0.001,1.07,0.00107
demo_south_america_age_28000_32000,south_america,0.001,1.07,0.00107
demo_oceania_age_neg40000_neg36000,oceania,0.004,0.22,0.00088
demo_oceania_age_neg36000_neg32000,oceania,0.004,0.22,0.00088
demo_oceania_age_neg32000_neg28000,oceania,0.003,0.22,0.00066
demo_oceania_age_neg28000_neg24000,oceania,0.003,0.22,0.00066
demo_oceania_age_neg24000_neg20000,oceania,0.003,0.22,0.00066
demo_oceania_age_neg20000_neg16000,oceania,0.003,0.22,0.00066
demo_oceania_age_neg16000_neg12000,oceania,0.002,0.22,0.00044
demo_oceania_age_neg12000_neg8000,oceania,0.002,0.22,0.00044
demo_oceania_age_neg8000_neg4000,oceania,0.002,0.22,0.00044
demo_oceania_age_neg4000_0,oceania,0.001,0.22,0.00022
demo_oceania_age_0_4000,oceania,0.002,0.22,0.00044
demo_oceania_age_4000_8000,oceania,0.002,0.22,0.00044
demo_oceania_age_8000_12000,oceania,0.002,0.22,0.00044
demo_oceania_age_12000_16000,oceania,0.001,0.22,0.00022
demo_oceania_age_16000_20000,oceania,0.001,0.22,0.00022
demo_oceania_age_20000_24000,oceania,0.001,0.22,0.00022
demo_oceania_age_24000_28000,oceania,0.001,0.22,0.00022
demo_oceania_age_28000_32000,oceania,0.001,0.22,0.00022
