metric_index,metric,source_column,component,metric_kind,sd_group,signed_sd_score,absolute_sd_score
4,time_in_years,time_in_years,,scalar,zero_sd_exact,,
5,total_population,total_population,,scalar,finite_<1,0.14872633319532705,0.14872633319532705
6,number_in_hospital,number_in_hospital,,scalar,finite_<1,0.27392215710806656,0.27392215710806656
7,number_severely_immunosuppressed,number_severely_immunosuppressed,,scalar,finite_<1,0.071029211841717205,0.071029211841717205
8,number_with_sepsis,number_with_sepsis,,scalar,finite_<1,-0.40967324519935128,0.40967324519935128
9,sepsis_episode_onset_people_count,sepsis_episode_onset_people_count,,scalar,finite_<1,-0.30725493389951342,0.30725493389951342
10,total_currently_infected,total_currently_infected,,scalar,finite_<1,0.51455185111808732,0.51455185111808732
11,infected_10_days_count,infected_10_days_count,,scalar,finite_<1,0.62026341662250417,0.62026341662250417
12,infected_21_days_count,infected_21_days_count,,scalar,zero_sd_exact,,
13,total_with_resistance,total_with_resistance,,scalar,finite_<1,0.15755950325826137,0.15755950325826137
14,currently_taking_drug_count,currently_taking_drug_count,,scalar,finite_<1,-0.27787659368798312,0.27787659368798312
15,currently_taking_drug_count_empiric,currently_taking_drug_count_empiric,,scalar,finite_<1,0.020439321928717755,0.020439321928717755
16,currently_taking_drug_count_targeted,currently_taking_drug_count_targeted,,scalar,finite_<1,0.86440055483133427,0.86440055483133427
17,currently_taking_drug_count_prophylaxis,currently_taking_drug_count_prophylaxis,,scalar,finite_<1,-0.2741359802586899,0.2741359802586899
18,currently_taking_drug_count_other,currently_taking_drug_count_other,,scalar,finite_<1,-0.66680029494567905,0.66680029494567905
19,currently_taking_drug_count_other_no_active_modelled_infection,currently_taking_drug_count_other_no_active_modelled_infection,,scalar,finite_<1,-0.70547816139116493,0.70547816139116493
20,currently_taking_drug_count_other_active_asymptomatic_modelled_bacterial_infection,currently_taking_drug_count_other_active_asymptomatic_modelled_bacterial_infection,,scalar,finite_<1,0.70756758721863389,0.70756758721863389
21,currently_taking_drug_count_other_unknown_or_legacy,currently_taking_drug_count_other_unknown_or_legacy,,scalar,zero_sd_exact,,
22,currently_infected_and_on_drug_count,currently_infected_and_on_drug_count,,scalar,finite_1_to_<2,1.5084187623017995,1.5084187623017995
23,taking_two_drugs_count,taking_two_drugs_count,,scalar,finite_<1,0.40829552150968207,0.40829552150968207
24,infection_acquisition_people_count,infection_acquisition_people_count,,scalar,finite_<1,-0.37803473392739262,0.37803473392739262
25,local_persistence_profile_incorporations_total,local_persistence_profile_incorporations_total,,scalar,finite_<1,0.23185027164485469,0.23185027164485469
26,local_persistence_profile_incorporations_infection,local_persistence_profile_incorporations_infection,,scalar,finite_<1,-0.24403555043462524,0.24403555043462524
27,local_persistence_profile_incorporations_carriage,local_persistence_profile_incorporations_carriage,,scalar,finite_<1,0.24110704704053681,0.24110704704053681
28,infection_acquisition_people_with_any_r_count,infection_acquisition_people_with_any_r_count,,scalar,finite_<1,-0.63391863532021342,0.63391863532021342
29,infection_acquisition_people_with_serious_r_count,infection_acquisition_people_with_serious_r_count,,scalar,finite_<1,-0.91759594195819516,0.91759594195819516
30,infection_acquisition_people_serious_r_marker_eligible_count,infection_acquisition_people_serious_r_marker_eligible_count,,scalar,finite_<1,-0.37803473392739262,0.37803473392739262
31,new_drug_initiations_count,new_drug_initiations_count,,scalar,finite_<1,0.23928701383381329,0.23928701383381329
32,new_drug_initiations_with_active_infection_count,new_drug_initiations_with_active_infection_count,,scalar,finite_1_to_<2,1.0668098369658776,1.0668098369658776
33,infection_acquisition_people_past_year,infection_acquisition_people_past_year,,scalar,finite_1_to_<2,1.5769379613916146,1.5769379613916146
34,diagnostic_cascade_eligible_symptomatic_infections,diagnostic_cascade_eligible_symptomatic_infections,,scalar,finite_>=5,-42.004643096355721,42.004643096355721
35,diagnostic_cascade_bacterial_identification_done,diagnostic_cascade_bacterial_identification_done,,scalar,finite_>=5,-18.644142595631408,18.644142595631408
36,diagnostic_cascade_resistance_testing_done,diagnostic_cascade_resistance_testing_done,,scalar,finite_>=5,-7.7064572535236486,7.7064572535236486
37,diagnostic_cascade_targeted_treatment_started,diagnostic_cascade_targeted_treatment_started,,scalar,finite_>=5,-14.576533972579954,14.576533972579954
38,diagnostic_cascade_effective_targeted_treatment_started,diagnostic_cascade_effective_targeted_treatment_started,,scalar,finite_>=5,-14.607473103929218,14.607473103929218
