run,region,population_share,mean_population,0_5,6_14,15_49,50_79,80plus,0_5_target,6_14_target,15_49_target,50_79_target,80plus_target,regional_population_reference_percent,window,age_reference,population_reference
071999,asia,60.14420937830813,3561331.001369863,8.254567808219178,13.963775410958906,49.93347,24.699691232876717,3.148494109589041,8.585039596443,14.3858328217553,51.21406262648009,24.0502042324841,1.7648607228374,58.97055613402185,"2022-2025 daily mean shares, baseline policy 0","UN WPP2024, both sexes, 1 July 2023","UN WPP2024, summed 2023 and 2024 midyear counts"
071999,africa,17.629166796912955,1044072.1801369864,16.70955589041096,22.04882506849315,48.8621351369863,10.858172123287671,1.521309315068493,16.994040923390198,22.4398220649347,49.0379329369755,11.0702207892746,0.457983285425,18.43217559956165,"2022-2025 daily mean shares, baseline policy 0","UN WPP2024, both sexes, 1 July 2023","UN WPP2024, summed 2023 and 2024 midyear counts"
071999,europe,9.105062866076391,539099.1678082192,5.626326575342466,9.777976575342468,43.26533952054794,34.31918719178082,7.011169315068494,5.6335167736803,9.8739438269159,43.907315502174896,35.1802167710125,5.405007126216501,9.171365696984344,"2022-2025 daily mean shares, baseline policy 0","UN WPP2024, both sexes, 1 July 2023","UN WPP2024, summed 2023 and 2024 midyear counts"
071999,north_america,7.219562231141961,427487.9726027397,7.63140589041096,12.611388835616438,48.18966178082192,27.328936849315067,4.2386052739726034,7.7177329852459,12.623004751040002,48.6688889243593,27.8926000540667,3.0977732852881,7.517792247775092,"2022-2025 daily mean shares, baseline policy 0","UN WPP2024, both sexes, 1 July 2023","UN WPP2024, summed 2023 and 2024 midyear counts"
071999,south_america,5.254390008843965,311126.8417808219,8.005205821917807,13.189685821917807,51.65393034246575,24.288986986301367,2.86218904109589,8.165422173023,13.3873777370513,52.4832966889204,24.0187973338902,1.9451060671151,5.344226683535843,"2022-2025 daily mean shares, baseline policy 0","UN WPP2024, both sexes, 1 July 2023","UN WPP2024, summed 2023 and 2024 midyear counts"
071999,oceania,0.6476087187165935,38347.18150684932,8.75422287671233,13.290961849315067,47.97032452054794,25.539180958904105,4.445310958904109,9.0063630216475,13.6594750009476,48.321360368056496,25.861606095342697,3.1511955140058,0.5638836381212213,"2022-2025 daily mean shares, baseline policy 0","UN WPP2024, both sexes, 1 July 2023","UN WPP2024, summed 2023 and 2024 midyear counts"
545650,asia,60.1077120083087,3561454.059589041,8.289426369863016,13.976647465753423,49.984519931506846,24.61743931506849,3.131966575342466,8.585039596443,14.3858328217553,51.21406262648009,24.0502042324841,1.7648607228374,58.97055613402185,"2022-2025 daily mean shares, baseline policy 0","UN WPP2024, both sexes, 1 July 2023","UN WPP2024, summed 2023 and 2024 midyear counts"
545650,africa,17.642937795081025,1045557.2616438356,16.750665958904108,22.052659178082195,48.795185205479456,10.876475273972602,1.5250145890410958,16.994040923390198,22.4398220649347,49.0379329369755,11.0702207892746,0.457983285425,18.43217559956165,"2022-2025 daily mean shares, baseline policy 0","UN WPP2024, both sexes, 1 July 2023","UN WPP2024, summed 2023 and 2024 midyear counts"
545650,europe,9.099636454424784,539122.7849315068,5.6231557534246575,9.86595397260274,43.25170479452055,34.293231369863015,6.965955684931507,5.6335167736803,9.8739438269159,43.907315502174896,35.1802167710125,5.405007126216501,9.171365696984344,"2022-2025 daily mean shares, baseline policy 0","UN WPP2024, both sexes, 1 July 2023","UN WPP2024, summed 2023 and 2024 midyear counts"
545650,north_america,7.224262006935546,428041.4383561644,7.595940068493149,12.60283102739726,48.29605198630137,27.315916301369857,4.189259726027397,7.7177329852459,12.623004751040002,48.6688889243593,27.8926000540667,3.0977732852881,7.517792247775092,"2022-2025 daily mean shares, baseline policy 0","UN WPP2024, both sexes, 1 July 2023","UN WPP2024, summed 2023 and 2024 midyear counts"
545650,south_america,5.282937379429218,313017.6219178082,7.940009589041096,13.227515,51.62739568493151,24.311519452054792,2.8935607534246577,8.165422173023,13.3873777370513,52.4832966889204,24.0187973338902,1.9451060671151,5.344226683535843,"2022-2025 daily mean shares, baseline policy 0","UN WPP2024, both sexes, 1 July 2023","UN WPP2024, summed 2023 and 2024 midyear counts"
545650,oceania,0.6425143558207211,38069.63082191781,8.494635547945204,13.544873356164382,47.64520602739726,25.865720342465757,4.4495657534246575,9.0063630216475,13.6594750009476,48.321360368056496,25.861606095342697,3.1511955140058,0.5638836381212213,"2022-2025 daily mean shares, baseline policy 0","UN WPP2024, both sexes, 1 July 2023","UN WPP2024, summed 2023 and 2024 midyear counts"
391322,asia,59.89520964285989,3523959.3876712327,8.342486849315069,14.049167671232876,50.0367741780822,24.59223054794521,2.979341232876713,8.585039596443,14.3858328217553,51.21406262648009,24.0502042324841,1.7648607228374,58.97055613402185,"2022-2025 daily mean shares, baseline policy 0","UN WPP2024, both sexes, 1 July 2023","UN WPP2024, summed 2023 and 2024 midyear counts"
391322,africa,17.728043142467932,1043226.447260274,16.660424589041096,22.072934863013703,48.84974034246575,10.93455609589041,1.482344315068493,16.994040923390198,22.4398220649347,49.0379329369755,11.0702207892746,0.457983285425,18.43217559956165,"2022-2025 daily mean shares, baseline policy 0","UN WPP2024, both sexes, 1 July 2023","UN WPP2024, summed 2023 and 2024 midyear counts"
391322,europe,9.17120462480728,539549.1273972603,5.631699178082192,9.822154520547944,43.15606568493151,34.39851308219178,6.991565753424658,5.6335167736803,9.8739438269159,43.907315502174896,35.1802167710125,5.405007126216501,9.171365696984344,"2022-2025 daily mean shares, baseline policy 0","UN WPP2024, both sexes, 1 July 2023","UN WPP2024, summed 2023 and 2024 midyear counts"
391322,north_america,7.276832743587878,428129.5664383562,7.628737260273972,12.603374383561649,48.14748780821918,27.39619794520548,4.224201712328767,7.7177329852459,12.623004751040002,48.6688889243593,27.8926000540667,3.0977732852881,7.517792247775092,"2022-2025 daily mean shares, baseline policy 0","UN WPP2024, both sexes, 1 July 2023","UN WPP2024, summed 2023 and 2024 midyear counts"
