parameter,region,before,proposed,multiplier,change_percent,reason
demo_north_america_age_neg36000_neg32000,north_america,0.00809004926,0.008150724629,1.0074999999443761112525042894485416272978293336127,0.7499999944376111252504289448541627297829333612700,proportional redistribution
demo_north_america_age_neg32000_neg28000,north_america,0.009088775655,0.009156941472,1.0074999999546143489884611966472837314191577985429,0.7499999954614348988461196647283731419157798542900,proportional redistribution
demo_north_america_age_neg28000_neg24000,north_america,0.009888471225,0.009962634760,1.0075000000821663917012611825646486623618606929809,0.7500000082166391701261182564648662361860692980900,proportional redistribution
demo_north_america_age_neg24000_neg20000,north_america,0.00909077531,0.009158956125,1.0075000000192502832852437973191969695706845052361,0.7500000019250283285243797319196969570684505236100,proportional redistribution
demo_north_america_age_neg20000_neg16000,north_america,0.008351424886,0.008414060573,1.0075000000425077163293545306994215358138347746375,0.7500000042507716329354530699421535813834774637500,proportional redistribution
demo_north_america_age_neg16000_neg12000,north_america,0.008535543324,0.008599559899,1.0075000000082010010778313284559224387108271679601,0.7500000008201001077831328455922438710827167960100,proportional redistribution
demo_north_america_age_neg12000_neg8000,north_america,0.007054545627,0.007107454719,1.0074999999712951037944998466731158616121032283742,0.7499999971295103794499846673115861612103228374200,proportional redistribution
demo_north_america_age_neg8000_neg4000,north_america,0.005300414713,0.005340167823,1.0074999999344390922567420622130478189245038419317,0.7499999934439092256742062213047818924503841931700,proportional redistribution
demo_north_america_age_neg4000_0,north_america,0.00327,0.0027795,0.85,-15.00,older-cohort reduction
demo_north_america_age_0_4000,north_america,0.00327,0.00327,1,0,unchanged
demo_north_america_age_4000_8000,north_america,0.00327,0.00327,1,0,unchanged
demo_north_america_age_8000_12000,north_america,0.00218,0.00218,1,0,unchanged
demo_north_america_age_12000_16000,north_america,0.00218,0.00218,1,0,unchanged
demo_north_america_age_16000_20000,north_america,0.00218,0.00218,1,0,unchanged
demo_north_america_age_20000_24000,north_america,0.00218,0.00218,1,0,unchanged
demo_north_america_age_24000_28000,north_america,0.00109,0.00109,1,0,unchanged
